,Hotel,Is repeated guest,Arrival date,Departure date,Lead time,Adults,Children,Babies,Meal,Country,Market segment,Distribution channel,Customer type,Room type,Booking changes,Deposit type,Agent,Company,Days in waiting list,Customer City,Customer State,ADR,Required car parking spaces,Total of special requests,Reservation status,Reservation status date,Booking Date,Canceled
0,City Hotel,0,2021-10-12,2020-04-13,79,1,1,0,FB,Portugal,Direct,TA/TO,Transient-Party,Double,1,Non Refund,4,9,17,Madrid,Paris,168.36,0,3,Canceled,2021-04-30,2021-07-25,1
1,Resort Hotel,0,2022-08-30,2020-08-20,278,3,0,1,FB,United Kingdom,Corporate,Corporate,Transient,Double,3,Refundable,2,6,34,London,Lisbon,149.85,1,3,Check-Out,2022-12-01,2021-11-25,0
2,Resort Hotel,0,2022-09-10,2022-02-27,180,3,2,1,FB,Spain,Offline TA/TO,Corporate,Transient-Party,Triple,1,Refundable,5,3,36,Berlin,Paris,104.59,2,4,Check-Out,2022-07-27,2022-03-14,0
3,City Hotel,1,2020-03-30,2020-04-27,101,2,0,1,HB,Germany,Online TA,Direct,Transient-Party,Double,3,No Deposit,2,9,28,Madrid,Madrid,99.9,0,3,Check-Out,2021-11-30,2019-12-20,0
4,Resort Hotel,0,2021-08-15,2022-02-15,205,3,2,0,BB,France,Online TA,Corporate,Group,Double,3,No Deposit,10,8,31,Lisbon,Madrid,52.37,1,0,Check-Out,2021-02-10,2021-01-22,0
5,City Hotel,0,2021-06-10,2021-11-14,322,4,1,1,BB,Portugal,Corporate,Corporate,Contract,Single,1,Non Refund,6,9,17,Lisbon,Berlin,151.66,1,3,Check-Out,2022-09-01,2020-07-23,0
6,City Hotel,0,2021-08-29,2021-10-15,294,4,0,0,FB,United Kingdom,Direct,Corporate,Transient,Double,2,Refundable,6,6,45,Berlin,Berlin,160.99,2,0,No-Show,2020-09-07,2020-11-08,0
7,City Hotel,1,2021-08-30,2020-07-18,361,2,2,1,HB,Portugal,Online TA,Corporate,Transient,Single,2,Non Refund,7,6,23,Berlin,London,77.68,0,3,Check-Out,2021-01-12,2020-09-03,0
8,City Hotel,0,2020-06-14,2022-05-20,330,3,1,0,HB,Germany,Offline TA/TO,Direct,Transient-Party,Triple,2,Non Refund,6,7,42,London,London,132.81,1,4,No-Show,2022-08-06,2019-07-20,0
9,City Hotel,0,2020-01-23,2021-11-11,311,2,1,0,HB,France,Direct,TA/TO,Transient,Triple,0,Non Refund,8,5,1,Paris,Madrid,98.37,2,0,No-Show,2021-05-08,2019-03-18,0
10,Resort Hotel,0,2022-01-22,2021-05-25,306,2,1,0,HB,France,Online TA,Direct,Group,Double,2,Refundable,5,10,37,Lisbon,Paris,165.56,0,0,Check-Out,2022-06-17,2021-03-22,0
11,City Hotel,0,2020-09-12,2022-10-06,194,4,1,0,FB,Spain,Offline TA/TO,Direct,Transient,Single,0,Non Refund,5,8,21,Madrid,Lisbon,129.12,0,0,Canceled,2021-11-06,2020-03-02,1
12,Resort Hotel,0,2022-10-19,2021-10-06,29,4,0,0,HB,Portugal,Online TA,TA/TO,Transient,Triple,1,Non Refund,1,3,29,London,Madrid,98.52,0,4,Check-Out,2020-12-14,2022-09-20,0
13,Resort Hotel,1,2022-12-23,2020-03-25,272,3,1,0,HB,Portugal,Direct,Corporate,Transient,Double,0,Non Refund,8,6,9,Berlin,Lisbon,155.25,0,1,Canceled,2020-09-03,2022-03-26,1
14,City Hotel,1,2022-03-22,2020-01-16,344,2,1,0,BB,Germany,Online TA,Direct,Contract,Single,3,No Deposit,4,9,24,Madrid,Lisbon,68.22,2,1,Check-Out,2022-07-30,2021-04-12,0
15,Resort Hotel,0,2021-12-05,2020-06-01,22,1,0,0,FB,Spain,Offline TA/TO,Direct,Transient,Triple,3,Non Refund,10,9,50,Berlin,Paris,91.64,1,1,Check-Out,2022-10-11,2021-11-13,0
16,City Hotel,0,2020-11-01,2020-12-29,27,2,0,0,HB,United Kingdom,Online TA,TA/TO,Transient-Party,Single,3,Refundable,1,5,47,Berlin,Lisbon,175.28,2,2,Check-Out,2021-07-27,2020-10-05,0
17,City Hotel,0,2022-03-24,2020-11-25,34,3,2,1,BB,Portugal,Direct,TA/TO,Group,Double,3,No Deposit,4,6,8,London,Berlin,190.17,2,4,Canceled,2020-11-29,2022-02-18,1
18,Resort Hotel,0,2022-06-05,2022-12-11,307,1,1,0,FB,Spain,Direct,Direct,Transient,Single,0,No Deposit,6,2,18,Berlin,Berlin,127.48,1,1,Canceled,2022-10-26,2021-08-02,1
19,Resort Hotel,1,2020-10-28,2020-05-08,283,4,1,1,HB,France,Direct,Corporate,Transient-Party,Triple,3,No Deposit,2,9,2,Berlin,Madrid,99.72,0,3,Check-Out,2020-12-28,2020-01-19,0
20,City Hotel,0,2020-10-15,2022-06-26,346,1,0,1,FB,France,Corporate,Direct,Transient-Party,Single,0,No Deposit,10,2,43,Berlin,Madrid,190.1,2,1,No-Show,2021-11-15,2019-11-04,0
21,City Hotel,0,2022-11-16,2022-11-03,240,4,0,0,FB,Spain,Offline TA/TO,Corporate,Transient,Triple,1,Refundable,1,6,0,London,Madrid,52.47,1,2,Canceled,2021-03-22,2022-03-21,1
